"TOA5","Station","CR1000","12345","CR1000.Std.25","CPU:Gibberish.CR1","54321","Daily"
"TIMESTAMP","RECORD","Batt_Min","Rain_Tot","AirT_Max","AirT_TMx","AirT_Min","AirT_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","BaromPres_Max","BaromPres_TMx","BaromPres_Min","BaromPres_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Max","SlrMJ_TMx","WaterT_Max","WaterT_TMx","WaterLvl_Min","WaterLvl_TMn"
"TS","RN","Volts","mm","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mmHg","mmHg","mmHg","mmHg","kW/m^2","kW/m^2","MJ/m^2","MJ/m^2","Deg C","Deg C","Ft","Ft"
"","","Min","Tot","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Max","TMx","Min","TMn"
"2014-05-14 00:00:00",33,12.8,0,13.54,"2014-05-13 17:15:00",3.074,"2014-05-14 00:00:00",90.4,"2014-05-13 00:15:00",46.79,"2014-05-13 16:00:00",737.1,"2014-05-14 00:00:00",727.9,"2014-05-13 00:30:00",1.198,"2014-05-13 13:30:00",0.036,"2014-05-13 13:30:00",16.98,"2014-05-13 16:00:00",0.527,"2014-05-13 23:15:00"
"2014-05-15 00:00:00",34,12.83,0,16.09,"2014-05-14 13:45:00",1.829,"2014-05-14 01:15:00",94.3,"2014-05-14 01:30:00",32.92,"2014-05-14 17:45:00",737.5,"2014-05-14 22:15:00",735.4,"2014-05-14 15:00:00",1.037,"2014-05-14 15:15:00",0.031,"2014-05-14 15:15:00",20.9,"2014-05-14 14:30:00",0.504,"2014-05-14 23:15:00"
"2014-05-16 00:00:00",35,12.85,0,8.14,"2014-05-15 16:15:00",1.901,"2014-05-15 02:00:00",82.2,"2014-05-15 02:30:00",48.85,"2014-05-15 17:45:00",737.3,"2014-05-15 00:15:00",734.7,"2014-05-15 18:00:00",0.551,"2014-05-15 09:45:00",0.017,"2014-05-15 09:45:00",8.5,"2014-05-15 16:15:00",0.495,"2014-05-15 23:45:00"
"2014-05-17 00:00:00",36,12.8,0,14.45,"2014-05-16 15:15:00",-0.189,"2014-05-16 06:15:00",84.9,"2014-05-16 03:30:00",25.57,"2014-05-16 17:30:00",734.8,"2014-05-16 00:15:00",732.6,"2014-05-16 17:45:00",1.218,"2014-05-16 14:00:00",0.037,"2014-05-16 14:00:00",17.57,"2014-05-16 17:30:00",0.482,"2014-05-16 23:30:00"
"2014-05-18 00:00:00",37,12.8,0,20.85,"2014-05-17 16:15:00",2.635,"2014-05-17 05:15:00",67.3,"2014-05-17 05:15:00",20.46,"2014-05-17 16:15:00",733.6,"2014-05-17 00:15:00",730.9,"2014-05-17 15:30:00",1.058,"2014-05-17 11:45:00",0.032,"2014-05-17 11:45:00",20.47,"2014-05-17 16:15:00",0.464,"2014-05-18 00:00:00"
"2014-05-19 00:00:00",38,12.87,0.254,23.96,"2014-05-18 15:45:00",6.793,"2014-05-18 06:00:00",68.2,"2014-05-18 06:15:00",20.15,"2014-05-18 17:30:00",732.8,"2014-05-18 07:45:00",728.8,"2014-05-18 19:15:00",0.998,"2014-05-18 13:30:00",0.03,"2014-05-18 13:30:00",23.63,"2014-05-18 15:30:00",0.432,"2014-05-18 23:30:00"
"2014-05-20 00:00:00",39,12.9,0,19.28,"2014-05-19 19:15:00",14.48,"2014-05-20 00:00:00",95.3,"2014-05-20 00:00:00",43.17,"2014-05-19 00:30:00",729.3,"2014-05-19 01:00:00",722.2,"2014-05-19 09:30:00",0.429,"2014-05-19 09:30:00",0.013,"2014-05-19 09:30:00",17.16,"2014-05-19 19:15:00",0.419,"2014-05-19 09:15:00"
"2014-05-21 00:00:00",40,12.86,0,27.07,"2014-05-20 14:45:00",12.33,"2014-05-20 06:45:00",99.4,"2014-05-20 02:00:00",28.97,"2014-05-20 15:15:00",729.1,"2014-05-21 00:00:00",725.1,"2014-05-20 00:45:00",0.989,"2014-05-20 14:45:00",0.03,"2014-05-20 14:45:00",26.03,"2014-05-20 15:00:00",0.408,"2014-05-20 23:45:00"
"2014-05-22 00:00:00",41,12.91,0,21.52,"2014-05-21 17:30:00",9.34,"2014-05-22 00:00:00",80.1,"2014-05-21 05:30:00",35.6,"2014-05-21 17:00:00",735.4,"2014-05-22 00:00:00",729.2,"2014-05-21 00:15:00",1.017,"2014-05-21 13:15:00",0.031,"2014-05-21 13:15:00",23.99,"2014-05-21 16:30:00",0.384,"2014-05-22 00:00:00"
"2014-05-23 00:00:00",42,12.83,0,25.58,"2014-05-22 16:45:00",4.748,"2014-05-22 05:15:00",89.3,"2014-05-22 05:15:00",22.04,"2014-05-22 18:30:00",736.9,"2014-05-22 10:30:00",734.5,"2014-05-22 18:30:00",0.955,"2014-05-22 13:15:00",0.029,"2014-05-22 13:15:00",28.78,"2014-05-22 15:45:00",0.363,"2014-05-23 00:00:00"
"2014-05-24 00:00:00",43,12.86,0,28.18,"2014-05-23 17:30:00",8.77,"2014-05-23 04:15:00",68.99,"2014-05-23 06:30:00",22.74,"2014-05-23 18:00:00",736.5,"2014-05-23 07:45:00",733,"2014-05-23 19:15:00",0.971,"2014-05-23 12:15:00",0.029,"2014-05-23 12:15:00",29.23,"2014-05-23 15:00:00",0.338,"2014-05-23 23:45:00"
"2014-05-25 00:00:00",44,12.89,0,29.92,"2014-05-24 16:15:00",13.1,"2014-05-24 05:45:00",57.09,"2014-05-24 05:45:00",21.22,"2014-05-24 18:15:00",734.4,"2014-05-24 06:00:00",730.8,"2014-05-24 20:00:00",1.096,"2014-05-24 14:45:00",0.033,"2014-05-24 14:45:00",28.36,"2014-05-24 15:00:00",0.301,"2014-05-24 23:15:00"
"2014-05-26 00:00:00",45,12.86,0,28.18,"2014-05-25 16:45:00",11.9,"2014-05-25 05:30:00",78.22,"2014-05-25 05:45:00",44.66,"2014-05-25 00:45:00",732,"2014-05-25 00:45:00",727.5,"2014-05-25 18:30:00",0.71,"2014-05-25 11:00:00",0.021,"2014-05-25 11:00:00",26.22,"2014-05-25 13:45:00",0.285,"2014-05-25 23:45:00"
